iter	RMSE
0	0.3853903199
1	0.3726625563
2	0.3607760774
3	0.3492494396
4	0.3384969521
5	0.3282529536
6	0.317734354
7	0.3083938442
8	0.2993982088
9	0.2906874146
10	0.2823713266
11	0.274929839
12	0.2672418817
13	0.2606674043
14	0.2538684574
15	0.2472867468
16	0.241615362
17	0.2356505746
18	0.2297199395
19	0.2247612111
20	0.2200133351
21	0.2149538598
22	0.2099948924
23	0.2058418984
24	0.2021944648
25	0.1982995389
26	0.1946520151
27	0.1913640576
28	0.1881108154
29	0.184979183
30	0.181579565
31	0.178967497
32	0.1762217816
33	0.1733866558
34	0.1707647427
35	0.1684533703
36	0.1660684321
37	0.1637581934
38	0.1618607751
39	0.1599970482
40	0.1580210978
41	0.1559993983
42	0.1541889775
43	0.1527371552
44	0.1511364886
45	0.1492915128
46	0.1476331242
47	0.1461286365
48	0.14500109
49	0.1438229121
50	0.1423423928
51	0.1409706347
52	0.1395745858
53	0.1386045108
54	0.1375874522
55	0.1365427243
56	0.1355479674
57	0.1345991402
58	0.1336812897
59	0.132758209
60	0.1318981989
61	0.1308601735
62	0.1299633988
63	0.1290266358
64	0.1282586371
65	0.1273910669
66	0.1265416537
67	0.1257734042
68	0.1249001516
69	0.1241237801
70	0.1235216599
71	0.1229461666
72	0.1222524717
73	0.1216018087
74	0.1211417386
75	0.1203498999
76	0.1198004707
77	0.1190506441
78	0.1185722952
79	0.1178909763
80	0.1174783532
81	0.1168861413
82	0.1163446875
83	0.1158062726
84	0.1153775188
85	0.114983195
86	0.1145271911
87	0.1141576645
88	0.1138024851
89	0.1134567991
90	0.1130418223
91	0.1125054444
92	0.1120679327
93	0.1117517713
94	0.111503869
95	0.1110277335
96	0.1107712131
97	0.110458116
98	0.1099837948
99	0.1096288801
100	0.1092130826
101	0.1089333678
102	0.1087132057
103	0.1083899051
104	0.1081905793
105	0.1078583652
106	0.10739644
107	0.1072019879
108	0.1068196807
109	0.1066117896
110	0.1063029815
111	0.1060296892
112	0.1057992237
113	0.1054643491
114	0.1052436713
115	0.105006306
116	0.1047486523
117	0.1045267956
118	0.1042732043
119	0.1040902233
120	0.1038931025
121	0.1036569793
122	0.1034350867
123	0.1032023882
124	0.102954395
125	0.1027723265
126	0.1025727099
127	0.1023754991
128	0.1021123401
129	0.1019215738
130	0.1016396589
131	0.1014029399
132	0.101190566
133	0.1009689136
134	0.1008128861
135	0.1005465233
136	0.1002310761
137	0.1000888601
138	0.09979242748
139	0.09971674209
140	0.09951532897
141	0.09940971042
142	0.09919047461
143	0.09896894543
144	0.09884345935
145	0.09871507947
146	0.09856967931
147	0.09835975182
148	0.09812651609
149	0.09792237309
150	0.09766024964
151	0.09730500952
152	0.09717207105
153	0.09694417685
154	0.09666720082
155	0.0965356819
156	0.09636375777
157	0.09617062735
158	0.0960215786
159	0.09577200774
160	0.09561999166
