iter	Logloss
0	0.6826785517
1	0.672905915
2	0.6639998305
3	0.6558628768
4	0.6485071106
5	0.6415703296
6	0.6354253975
7	0.6297575213
8	0.6245830354
9	0.6199511624
10	0.6156739534
11	0.6117443426
12	0.6077225666
13	0.6038243384
14	0.600489784
15	0.597665143
16	0.5945837057
17	0.5917126308
18	0.5891056094
19	0.5867326302
20	0.5846465011
21	0.5828117561
22	0.5811915186
23	0.5796728821
24	0.5780209294
25	0.5765233138
26	0.5748524851
27	0.573410921
28	0.5722764431
29	0.5710706667
30	0.569954922
31	0.5690312464
32	0.5680394223
33	0.5667899123
34	0.565766768
35	0.5647774391
36	0.5638662428
37	0.5631415403
38	0.5622474565
39	0.5613887187
40	0.5606778819
41	0.5599154786
42	0.5591641113
43	0.558402659
44	0.5577585472
45	0.557231299
46	0.5565675915
47	0.5559857647
48	0.5554264368
49	0.554785863
50	0.554264441
51	0.553820567
52	0.5532645404
53	0.552763389
54	0.5523470173
55	0.5518801102
56	0.5513957824
57	0.551086947
58	0.5506807162
59	0.5502612679
60	0.5497599672
61	0.5491915107
62	0.5487113413
63	0.5482231454
64	0.5478235047
65	0.5475181949
66	0.5471145941
67	0.5467994998
68	0.546451021
69	0.5459724807
70	0.545658485
71	0.5451092948
72	0.5447340014
73	0.5443512084
74	0.5439946875
75	0.5437420504
76	0.5434848298
77	0.5431776974
78	0.5428399293
79	0.5424714454
80	0.5420451619
81	0.5415981092
82	0.5410817414
83	0.5405826809
84	0.5402955581
85	0.5400298152
86	0.5395786258
87	0.539390026
88	0.5390415938
89	0.5385867905
90	0.5382321742
91	0.5379957268
92	0.5377828055
93	0.5374102155
94	0.5370406492
95	0.5367500936
96	0.5364541576
97	0.5360553852
98	0.5358599695
99	0.5354559406
100	0.5350481404
101	0.5347923789
102	0.5344060067
103	0.5341066454
104	0.5336249807
105	0.5334281613
106	0.5331792596
107	0.5328684088
108	0.5326861455
109	0.5323541979
110	0.5320586108
111	0.5318810925
112	0.5315742021
113	0.5314060619
114	0.5310933867
115	0.530787014
116	0.5305895591
117	0.5301692434
118	0.5300182012
119	0.5298495819
120	0.5294706234
121	0.5292135211
122	0.5290674507
123	0.528884455
124	0.5285223198
125	0.5282374741
126	0.5280438175
127	0.5277867944
128	0.5275716959
129	0.5273912731
130	0.5270800835
131	0.5268499859
132	0.526606102
133	0.5263118956
134	0.5260597421
135	0.5257603071
136	0.5254838388
137	0.5254147265
138	0.5251072976
139	0.5249123538
140	0.524690496
141	0.5242889982
142	0.523998665
143	0.52374462
144	0.5235801372
145	0.5232691069
146	0.5230619865
147	0.5228144601
148	0.5226290888
149	0.5224304045
150	0.5222087219
151	0.5219700002
152	0.5217140063
153	0.5215173138
154	0.5211778922
155	0.5208866618
156	0.5205205803
157	0.5202522017
158	0.5199966564
159	0.5198011067
160	0.5196004484
161	0.5192527901
162	0.5191008075
163	0.5187224726
164	0.5183141133
165	0.518107391
166	0.5178705016
167	0.517697154
168	0.5174647141
169	0.5170660777
170	0.5168919068
171	0.5167525974
172	0.5165659007
173	0.5162717221
174	0.5160558222
175	0.5159574403
176	0.5157162229
177	0.5155088223
178	0.515332147
179	0.5151153223
180	0.5149201847
181	0.5146035803
182	0.5144560548
183	0.514329268
184	0.5139619526
185	0.513744009
186	0.5134601823
187	0.5132043098
188	0.5129337821
189	0.5127527036
190	0.5125916524
191	0.5124376934
192	0.5121938745
193	0.5118267367
194	0.5116751375
195	0.5113832951
196	0.5111320535
197	0.5108887284
198	0.5106247289
199	0.5103983521
200	0.5102575427
201	0.5100315835
202	0.509823562
203	0.5095982384
204	0.5094332435
205	0.5092457292
206	0.5090181746
207	0.5088395531
208	0.5086403304
209	0.5083123451
210	0.5080518248
211	0.50776802
212	0.5074863998
213	0.5071619067
214	0.5070125453
215	0.5067901579
216	0.5065368247
217	0.5063762578
218	0.5060969804
219	0.5058966538
